SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T06,20-Nov-97,IRON,0.11,1997,11
T06,20-Nov-97,MAGNESIUM,2.06,1997,11
T06,20-Nov-97,NH4N,0.71,1997,11
T06,20-Nov-97,NO3N,0.77,1997,11
T06,20-Nov-97,PH,4.17,1997,11
T06,20-Nov-97,PO4P,0.11,1997,11
T06,20-Nov-97,POTASSIUM,3.51,1997,11
T06,20-Nov-97,SO4S,1.64,1997,11
T06,20-Nov-97,SODIUM,3.35,1997,11
T06,12-Dec-97,ALUMINIUM,0.37,1997,12
T06,12-Dec-97,CALCIUM,4.68,1997,12
T06,12-Dec-97,CHLORIDE,11.67,1997,12
T06,12-Dec-97,CONDY,96.9,1997,12
T06,12-Dec-97,IRON,0.11,1997,12
T06,12-Dec-97,MAGNESIUM,2.32,1997,12
T06,12-Dec-97,NH4N,0.78,1997,12
T06,12-Dec-97,NO3N,0.75,1997,12
T06,12-Dec-97,PH,4.11,1997,12
T06,12-Dec-97,PO4P,0.16,1997,12
T06,12-Dec-97,POTASSIUM,3.77,1997,12
T06,12-Dec-97,SO4S,1.8,1997,12
T06,12-Dec-97,SODIUM,3.77,1997,12
T06,18-Dec-97,ALUMINIUM,0.4,1997,12
T06,18-Dec-97,CALCIUM,4.71,1997,12
T06,18-Dec-97,CHLORIDE,11.91,1997,12
T06,18-Dec-97,CONDY,100.4,1997,12
T06,18-Dec-97,IRON,0.2,1997,12
T06,18-Dec-97,MAGNESIUM,2.32,1997,12
T06,18-Dec-97,NH4N,0.81,1997,12
T06,18-Dec-97,NO3N,0.76,1997,12
T06,18-Dec-97,PH,4.11,1997,12
T06,18-Dec-97,PO4P,0.11,1997,12
T06,18-Dec-97,POTASSIUM,3.77,1997,12
T06,18-Dec-97,SO4S,1.85,1997,12
T06,18-Dec-97,SODIUM,3.79,1997,12
T06,06-Jan-98,ALUMINIUM,0.18,1998,1
T06,06-Jan-98,CALCIUM,4.74,1998,1
T06,06-Jan-98,CHLORIDE,11.47,1998,1
T06,06-Jan-98,CONDY,95,1998,1
T06,06-Jan-98,IRON,0.05,1998,1
T06,06-Jan-98,MAGNESIUM,2.2,1998,1
T06,06-Jan-98,NH4N,0.76,1998,1
T06,06-Jan-98,NO3N,0.66,1998,1
T06,06-Jan-98,PH,4.17,1998,1
T06,06-Jan-98,PO4P,0.03,1998,1
T06,06-Jan-98,POTASSIUM,3.86,1998,1
T06,06-Jan-98,SO4S,0.1,1998,1
T06,06-Jan-98,SODIUM,4.2,1998,1
T06,08-Jan-98,ALUMINIUM,0.39,1998,1
T06,08-Jan-98,CALCIUM,4.66,1998,1
T06,08-Jan-98,CHLORIDE,11.94,1998,1
T06,08-Jan-98,CONDY,102.1,1998,1
T06,08-Jan-98,IRON,0.21,1998,1
T06,08-Jan-98,MAGNESIUM,2.3,1998,1
T06,08-Jan-98,NH4N,0.76,1998,1
T06,08-Jan-98,NO3N,0.75,1998,1
T06,08-Jan-98,PH,4.5,1998,1
T06,08-Jan-98,PO4P,0,1998,1
T06,08-Jan-98,POTASSIUM,3.75,1998,1
T06,08-Jan-98,SO4S,0.02,1998,1
T06,08-Jan-98,SODIUM,3.71,1998,1
T06,15-Jan-98,ALUMINIUM,0.37,1998,1
T06,15-Jan-98,CALCIUM,5.84,1998,1
T06,15-Jan-98,CHLORIDE,11.25,1998,1
T06,15-Jan-98,CONDY,102.2,1998,1
T06,15-Jan-98,IRON,0.06,1998,1
T06,15-Jan-98,MAGNESIUM,2.31,1998,1
T06,15-Jan-98,NH4N,0.73,1998,1
T06,15-Jan-98,NO3N,0.75,1998,1
T06,15-Jan-98,PH,4.5,1998,1
T06,15-Jan-98,POTASSIUM,4.19,1998,1
T06,15-Jan-98,SO4S,0.14,1998,1
T06,15-Jan-98,SODIUM,4.17,1998,1
T06,30-Jan-98,ALUMINIUM,0.38,1998,1
T06,30-Jan-98,CALCIUM,5.78,1998,1
T06,30-Jan-98,CHLORIDE,12.48,1998,1
T06,30-Jan-98,CONDY,101.9,1998,1
T06,30-Jan-98,IRON,0.05,1998,1
T06,30-Jan-98,MAGNESIUM,2.3,1998,1
T06,30-Jan-98,NH4N,0.78,1998,1
T06,30-Jan-98,NO3N,0.77,1998,1
T06,30-Jan-98,PH,4.52,1998,1
T06,30-Jan-98,POTASSIUM,4.35,1998,1
T06,30-Jan-98,SO4S,0.16,1998,1
T06,30-Jan-98,SODIUM,4.2,1998,1
T06,12-Feb-98,ALUMINIUM,0.4,1998,2
T06,12-Feb-98,CALCIUM,5.86,1998,2
T06,12-Feb-98,CHLORIDE,11.66,1998,2
T06,12-Feb-98,CONDY,102.4,1998,2
T06,12-Feb-98,IRON,0.09,1998,2
T06,12-Feb-98,MAGNESIUM,2.33,1998,2
T06,12-Feb-98,NH4N,0.77,1998,2
T06,12-Feb-98,NO3N,0.76,1998,2
T06,12-Feb-98,PH,4.49,1998,2
T06,12-Feb-98,POTASSIUM,4.16,1998,2
T06,12-Feb-98,SO4S,0.14,1998,2
T06,12-Feb-98,SODIUM,4.16,1998,2
T06,05-Mar-98,ALUMINIUM,0.39,1998,3
T06,05-Mar-98,CALCIUM,5.81,1998,3
T06,05-Mar-98,CHLORIDE,12.16,1998,3
T06,05-Mar-98,CONDY,100.3,1998,3
T06,05-Mar-98,IRON,0.07,1998,3
T06,05-Mar-98,MAGNESIUM,2.3,1998,3
T06,05-Mar-98,NH4N,0.65,1998,3
T06,05-Mar-98,NO3N,0.76,1998,3
T06,05-Mar-98,PH,4.5,1998,3
T06,05-Mar-98,POTASSIUM,4.11,1998,3
T06,05-Mar-98,SO4S,0.16,1998,3
T06,05-Mar-98,SODIUM,4.12,1998,3
T06,08-Mar-98,ALUMINIUM,0.23,1998,3
T06,08-Mar-98,CALCIUM,6.02,1998,3
T06,08-Mar-98,CHLORIDE,12.82,1998,3
T06,08-Mar-98,CONDY,101.1,1998,3
T06,08-Mar-98,IRON,0.04,1998,3
T06,08-Mar-98,MAGNESIUM,2.37,1998,3
T06,08-Mar-98,NH4N,0.77,1998,3
T06,08-Mar-98,NO3N,0.75,1998,3
T06,08-Mar-98,PH,4.51,1998,3
T06,08-Mar-98,POTASSIUM,3.88,1998,3
T06,08-Mar-98,SO4S,0.17,1998,3
T06,08-Mar-98,SODIUM,4.26,1998,3
T06,20-Mar-98,ALUMINIUM,0.31,1998,3
T06,20-Mar-98,CALCIUM,5.94,1998,3
T06,20-Mar-98,CHLORIDE,11.47,1998,3
T06,20-Mar-98,CONDY,94.1,1998,3
T06,20-Mar-98,IRON,0.07,1998,3
T06,20-Mar-98,MAGNESIUM,2.42,1998,3
T06,20-Mar-98,NH4N,0.72,1998,3
T06,20-Mar-98,NO3N,0.75,1998,3
T06,20-Mar-98,PH,4.51,1998,3
T06,20-Mar-98,POTASSIUM,4.03,1998,3
T06,20-Mar-98,SO4S,0.16,1998,3
T06,20-Mar-98,SODIUM,4.26,1998,3
T06,02-Apr-98,ALUMINIUM,0.38,1998,4
T06,02-Apr-98,CALCIUM,6.02,1998,4
T06,02-Apr-98,CHLORIDE,12.4,1998,4
T06,02-Apr-98,CONDY,101.3,1998,4
T06,02-Apr-98,IRON,0.05,1998,4
T06,02-Apr-98,MAGNESIUM,2.45,1998,4
T06,02-Apr-98,NH4N,0.81,1998,4
T06,02-Apr-98,NO3N,0.77,1998,4
T06,02-Apr-98,PH,4.52,1998,4
T06,02-Apr-98,POTASSIUM,4.14,1998,4
T06,02-Apr-98,SO4S,0.16,1998,4
T06,02-Apr-98,SODIUM,4.18,1998,4
T06,21-Apr-98,ALUMINIUM,0.2,1998,4
T06,21-Apr-98,CALCIUM,6.45,1998,4
T06,21-Apr-98,CHLORIDE,11.79,1998,4
T06,21-Apr-98,CONDY,107.4,1998,4
T06,21-Apr-98,IRON,0.08,1998,4
T06,21-Apr-98,MAGNESIUM,2.4,1998,4
T06,21-Apr-98,NH4N,0.76,1998,4
T06,21-Apr-98,NO3N,0.78,1998,4
T06,21-Apr-98,PH,4.43,1998,4
T06,21-Apr-98,POTASSIUM,4.02,1998,4
T06,21-Apr-98,SO4S,0.2,1998,4
T06,21-Apr-98,SODIUM,4.53,1998,4
T06,15-May-98,ALUMINIUM,0.21,1998,5
T06,15-May-98,CALCIUM,5.95,1998,5
T06,15-May-98,CHLORIDE,12.6,1998,5
T06,15-May-98,CONDY,99,1998,5
T06,15-May-98,IRON,0.06,1998,5
T06,15-May-98,MAGNESIUM,2.32,1998,5
T06,15-May-98,NH4N,0.78,1998,5
T06,15-May-98,NO3N,0.75,1998,5
T06,15-May-98,PH,4.44,1998,5
T06,15-May-98,POTASSIUM,4.03,1998,5
T06,15-May-98,SO4S,0.16,1998,5
T06,15-May-98,SODIUM,4.36,1998,5
T06,09-Jun-98,ALUMINIUM,0.21,1998,6
T06,09-Jun-98,CALCIUM,6.14,1998,6
T06,09-Jun-98,CHLORIDE,10.85,1998,6
T06,09-Jun-98,CONDY,104.7,1998,6
T06,09-Jun-98,IRON,0.06,1998,6
T06,09-Jun-98,MAGNESIUM,2.34,1998,6
T06,09-Jun-98,NH4N,0.72,1998,6
T06,09-Jun-98,NO3N,0.73,1998,6
T06,09-Jun-98,PH,4.33,1998,6
T06,09-Jun-98,POTASSIUM,4.04,1998,6
T06,09-Jun-98,SO4S,0.18,1998,6
T06,09-Jun-98,SODIUM,4.42,1998,6
T06,17-Jun-98,ALUMINIUM,0.13,1998,6
T06,17-Jun-98,CALCIUM,5.22,1998,6
T06,17-Jun-98,CHLORIDE,12.37,1998,6
T06,17-Jun-98,CONDY,79.7,1998,6
T06,17-Jun-98,IRON,0.05,1998,6
T06,17-Jun-98,MAGNESIUM,1.83,1998,6
T06,17-Jun-98,NH4N,0.65,1998,6
T06,17-Jun-98,NO3N,0.69,1998,6
T06,17-Jun-98,PH,4.52,1998,6
T06,17-Jun-98,POTASSIUM,3.23,1998,6
T06,17-Jun-98,SO4S,0.18,1998,6
T06,17-Jun-98,SODIUM,3.62,1998,6
T06,16-Jul-98,ALUMINIUM,0.16,1998,7
T06,16-Jul-98,CALCIUM,5.03,1998,7
T06,16-Jul-98,CHLORIDE,11.01,1998,7
T06,16-Jul-98,CONDY,87.4,1998,7
T06,16-Jul-98,IRON,0.06,1998,7
T06,16-Jul-98,MAGNESIUM,2.28,1998,7
T06,16-Jul-98,NH4N,0.8,1998,7
T06,16-Jul-98,NO3N,0.87,1998,7
T06,16-Jul-98,PH,4.51,1998,7
T06,16-Jul-98,PO4P,0.05,1998,7
T06,16-Jul-98,POTASSIUM,3.91,1998,7
T06,16-Jul-98,SO4S,0,1998,7
T06,16-Jul-98,SODIUM,4.52,1998,7
T06,31-Jul-98,ALUMINIUM,0.19,1998,7
T06,31-Jul-98,CALCIUM,4.67,1998,7
T06,31-Jul-98,CHLORIDE,11.42,1998,7
T06,31-Jul-98,CONDY,100.2,1998,7
T06,31-Jul-98,IRON,0.05,1998,7
T06,31-Jul-98,MAGNESIUM,2.28,1998,7
T06,31-Jul-98,NH4N,0.92,1998,7
T06,31-Jul-98,NO3N,0.94,1998,7
T06,31-Jul-98,PH,4.42,1998,7
T06,31-Jul-98,PO4P,0,1998,7
T06,31-Jul-98,POTASSIUM,3.88,1998,7
T06,31-Jul-98,SO4S,0,1998,7
T06,31-Jul-98,SODIUM,4.48,1998,7
T06,13-Aug-98,ALUMINIUM,0.21,1998,8
T06,13-Aug-98,CALCIUM,4.61,1998,8
T06,13-Aug-98,CHLORIDE,11.87,1998,8
T06,13-Aug-98,CONDY,98.7,1998,8
T06,13-Aug-98,IRON,0.05,1998,8
T06,13-Aug-98,MAGNESIUM,2.23,1998,8
T06,13-Aug-98,NH4N,0.86,1998,8
T06,13-Aug-98,NO3N,0.65,1998,8
T06,13-Aug-98,PH,4.36,1998,8
T06,13-Aug-98,PO4P,0.02,1998,8
T06,13-Aug-98,POTASSIUM,3.93,1998,8
T06,13-Aug-98,SO4S,0.08,1998,8
T06,13-Aug-98,SODIUM,4.06,1998,8
T06,07-Sep-98,ALUMINIUM,0.2,1998,9
T06,07-Sep-98,CALCIUM,5.18,1998,9
T06,07-Sep-98,CHLORIDE,12.1,1998,9
T06,07-Sep-98,CONDY,101.9,1998,9
T06,07-Sep-98,IRON,0.03,1998,9
T06,07-Sep-98,MAGNESIUM,2.26,1998,9
T06,07-Sep-98,NH4N,0.69,1998,9
T06,07-Sep-98,NO3N,0.68,1998,9
T06,07-Sep-98,PH,4.24,1998,9
T06,07-Sep-98,PO4P,0.2,1998,9
T06,07-Sep-98,POTASSIUM,4.09,1998,9
T06,07-Sep-98,SO4S,0.27,1998,9
T06,07-Sep-98,SODIUM,4.2,1998,9
T06,22-Sep-98,ALUMINIUM,0.24,1998,9
T06,22-Sep-98,CALCIUM,5.14,1998,9
T06,22-Sep-98,CHLORIDE,12.6,1998,9
T06,22-Sep-98,CONDY,104,1998,9
T06,22-Sep-98,IRON,0.03,1998,9
T06,22-Sep-98,MAGNESIUM,2.29,1998,9
T06,22-Sep-98,NH4N,0.65,1998,9
T06,22-Sep-98,NO3N,0.66,1998,9
T06,22-Sep-98,PH,4.24,1998,9
T06,22-Sep-98,PO4P,0.17,1998,9
T06,22-Sep-98,POTASSIUM,3.94,1998,9
T06,22-Sep-98,SO4S,0.24,1998,9
T06,22-Sep-98,SODIUM,4.1,1998,9
T06,15-Oct-98,ALUMINIUM,0.19,1998,10
T06,15-Oct-98,CALCIUM,4.7,1998,10
T06,15-Oct-98,CHLORIDE,12.32,1998,10
T06,15-Oct-98,CONDY,99.6,1998,10
T06,15-Oct-98,IRON,0.04,1998,10
T06,15-Oct-98,MAGNESIUM,2.2,1998,10
T06,15-Oct-98,NH4N,1.92,1998,10
T06,15-Oct-98,NO3N,1,1998,10
T06,15-Oct-98,PH,4.3,1998,10
T06,15-Oct-98,PO4P,0,1998,10
T06,15-Oct-98,POTASSIUM,4.01,1998,10
T06,15-Oct-98,SO4S,0.1,1998,10
T06,15-Oct-98,SODIUM,4.16,1998,10
T06,21-Oct-98,ALUMINIUM,0.21,1998,10
T06,21-Oct-98,CALCIUM,4.95,1998,10
T06,21-Oct-98,CHLORIDE,15.6,1998,10
T06,21-Oct-98,CONDY,100.1,1998,10
T06,21-Oct-98,IRON,0.05,1998,10
T06,21-Oct-98,MAGNESIUM,2.17,1998,10
T06,21-Oct-98,NH4N,0.7,1998,10
T06,21-Oct-98,NO3N,0.93,1998,10
T06,21-Oct-98,PH,4.24,1998,10
T06,21-Oct-98,PO4P,0.15,1998,10
T06,21-Oct-98,POTASSIUM,3.85,1998,10
T06,21-Oct-98,SO4S,0.33,1998,10
T06,21-Oct-98,SODIUM,4.17,1998,10
T06,10-Nov-98,ALUMINIUM,0.27,1998,11
T06,10-Nov-98,CALCIUM,5.78,1998,11
T06,10-Nov-98,CHLORIDE,11.6,1998,11
T06,10-Nov-98,CONDY,104.1,1998,11
T06,10-Nov-98,IRON,0.06,1998,11
T06,10-Nov-98,MAGNESIUM,2.29,1998,11
T06,10-Nov-98,NH4N,0.52,1998,11
T06,10-Nov-98,NO3N,0.91,1998,11
T06,10-Nov-98,PH,4.51,1998,11
T06,10-Nov-98,POTASSIUM,4.1,1998,11
T06,10-Nov-98,SO4S,0,1998,11
T06,10-Nov-98,SODIUM,4.11,1998,11
T06,18-Nov-98,ALUMINIUM,0.3,1998,11
T06,18-Nov-98,CALCIUM,5.45,1998,11
T06,18-Nov-98,CHLORIDE,12.04,1998,11
T06,18-Nov-98,CONDY,98.3,1998,11
T06,18-Nov-98,IRON,0.08,1998,11
T06,18-Nov-98,MAGNESIUM,2.19,1998,11
T06,18-Nov-98,NH4N,0.65,1998,11
T06,18-Nov-98,NO3N,0.76,1998,11
T06,18-Nov-98,PH,4.42,1998,11
T06,18-Nov-98,POTASSIUM,3.7,1998,11
T06,18-Nov-98,SO4S,0.26,1998,11
T06,18-Nov-98,SODIUM,4.17,1998,11
T06,25-Nov-98,ALUMINIUM,0.08,1998,11
T06,25-Nov-98,CALCIUM,5.8,1998,11
T06,25-Nov-98,CHLORIDE,11,1998,11
T06,25-Nov-98,CONDY,101.9,1998,11
T06,25-Nov-98,IRON,0.07,1998,11
T06,25-Nov-98,MAGNESIUM,2.39,1998,11
T06,25-Nov-98,NH4N,0.73,1998,11
T06,25-Nov-98,NO3N,0.78,1998,11
T06,25-Nov-98,PH,4.38,1998,11
T06,25-Nov-98,POTASSIUM,4.08,1998,11
T06,25-Nov-98,SO4S,0.26,1998,11
T06,25-Nov-98,SODIUM,4.05,1998,11
T06,02-Dec-98,ALUMINIUM,0.09,1998,12
T06,02-Dec-98,CALCIUM,5.53,1998,12
T06,02-Dec-98,CHLORIDE,17.61,1998,12
T06,02-Dec-98,CONDY,92.9,1998,12
T06,02-Dec-98,IRON,0.06,1998,12
T06,02-Dec-98,MAGNESIUM,2.26,1998,12
T06,02-Dec-98,NH4N,0.68,1998,12
T06,02-Dec-98,NO3N,0.82,1998,12
T06,02-Dec-98,PH,4.13,1998,12
T06,02-Dec-98,POTASSIUM,4.02,1998,12
T06,02-Dec-98,SO4S,0.17,1998,12
T06,02-Dec-98,SODIUM,4.01,1998,12
T06,17-Dec-98,ALUMINIUM,0.21,1998,12
T06,17-Dec-98,CALCIUM,4.63,1998,12
T06,17-Dec-98,CHLORIDE,13.1,1998,12
T06,17-Dec-98,CONDY,63.6,1998,12
T06,17-Dec-98,IRON,0.03,1998,12
T06,17-Dec-98,MAGNESIUM,2.24,1998,12
T06,17-Dec-98,NH4N,0.89,1998,12
T06,17-Dec-98,NO3N,0.7,1998,12
T06,17-Dec-98,PH,4.1,1998,12
T06,17-Dec-98,PO4P,0.06,1998,12
T06,17-Dec-98,POTASSIUM,4.12,1998,12
T06,17-Dec-98,SO4S,0.08,1998,12
T06,17-Dec-98,SODIUM,4.05,1998,12
T06,13-Jan-99,ALUMINIUM,0.21,1999,1
T06,13-Jan-99,CALCIUM,4.63,1999,1
T06,13-Jan-99,CHLORIDE,13.25,1999,1
T06,13-Jan-99,CONDY,88,1999,1
T06,13-Jan-99,IRON,0.07,1999,1
T06,13-Jan-99,MAGNESIUM,2.21,1999,1
T06,13-Jan-99,NH4N,0.78,1999,1
T06,13-Jan-99,NO3N,0.64,1999,1
T06,13-Jan-99,PH,4.13,1999,1
T06,13-Jan-99,PO4P,0.02,1999,1
T06,13-Jan-99,POTASSIUM,3.95,1999,1
T06,13-Jan-99,SO4S,0.1,1999,1
T06,13-Jan-99,SODIUM,4.08,1999,1
T06,25-Jan-99,ALUMINIUM,0.22,1999,1
T06,25-Jan-99,CALCIUM,4.66,1999,1
T06,25-Jan-99,CHLORIDE,11.32,1999,1
T06,25-Jan-99,CONDY,85.9,1999,1
T06,25-Jan-99,IRON,0.04,1999,1
T06,25-Jan-99,MAGNESIUM,2.29,1999,1
T06,25-Jan-99,NH4N,0.8,1999,1
T06,25-Jan-99,NO3N,0.72,1999,1
T06,25-Jan-99,PH,3.89,1999,1
T06,25-Jan-99,PO4P,0.02,1999,1
T06,25-Jan-99,POTASSIUM,4.19,1999,1
T06,25-Jan-99,SO4S,0.08,1999,1
T06,25-Jan-99,SODIUM,4.24,1999,1
T06,27-Jan-99,ALUMINIUM,0.26,1999,1
T06,27-Jan-99,CALCIUM,4.44,1999,1
T06,27-Jan-99,CHLORIDE,10.86,1999,1
T06,27-Jan-99,CONDY,103.8,1999,1
T06,27-Jan-99,IRON,0.05,1999,1
T06,27-Jan-99,MAGNESIUM,2.17,1999,1
T06,27-Jan-99,NH4N,0.95,1999,1
T06,27-Jan-99,NO3N,0.63,1999,1
T06,27-Jan-99,PH,4.03,1999,1
T06,27-Jan-99,PO4P,0.06,1999,1
T06,27-Jan-99,POTASSIUM,3.82,1999,1
T06,27-Jan-99,SO4S,0.1,1999,1
T06,27-Jan-99,SODIUM,3.68,1999,1
T06,03-Feb-99,ALUMINIUM,0.46,1999,2
T06,03-Feb-99,CALCIUM,4.86,1999,2
T06,03-Feb-99,CHLORIDE,11.49,1999,2
T06,03-Feb-99,CONDY,99.3,1999,2
T06,03-Feb-99,IRON,0.08,1999,2
T06,03-Feb-99,MAGNESIUM,2.52,1999,2
T06,03-Feb-99,NH4N,0.87,1999,2
T06,03-Feb-99,NO3N,0.69,1999,2
T06,03-Feb-99,PH,4.11,1999,2
T06,03-Feb-99,PO4P,0.13,1999,2
T06,03-Feb-99,POTASSIUM,4.19,1999,2
T06,03-Feb-99,SO4S,0.1,1999,2
T06,03-Feb-99,SODIUM,4.01,1999,2
T06,10-Feb-99,ALUMINIUM,0.24,1999,2
T06,10-Feb-99,CALCIUM,4.59,1999,2
T06,10-Feb-99,CHLORIDE,13.46,1999,2
T06,10-Feb-99,CONDY,90,1999,2
T06,10-Feb-99,IRON,0.03,1999,2
T06,10-Feb-99,MAGNESIUM,2.16,1999,2
T06,10-Feb-99,NH4N,0.67,1999,2
T06,10-Feb-99,NO3N,0.59,1999,2
T06,10-Feb-99,PH,4.08,1999,2
T06,10-Feb-99,PO4P,0.01,1999,2
T06,10-Feb-99,POTASSIUM,4.06,1999,2
T06,10-Feb-99,SO4S,0.08,1999,2
T06,10-Feb-99,SODIUM,3.89,1999,2
T06,17-Feb-99,ALUMINIUM,0.29,1999,2
T06,17-Feb-99,CALCIUM,4.59,1999,2
T06,17-Feb-99,CHLORIDE,12.47,1999,2
T06,17-Feb-99,CONDY,103.2,1999,2
T06,17-Feb-99,IRON,0.07,1999,2
T06,17-Feb-99,MAGNESIUM,2.19,1999,2
T06,17-Feb-99,NH4N,0.77,1999,2
T06,17-Feb-99,NO3N,0.8,1999,2
T06,17-Feb-99,PH,4.25,1999,2
T06,17-Feb-99,PO4P,0.04,1999,2
T06,17-Feb-99,POTASSIUM,3.9,1999,2
T06,17-Feb-99,SO4S,0.02,1999,2
T06,17-Feb-99,SODIUM,3.82,1999,2
T06,24-Feb-99,ALUMINIUM,0.28,1999,2
T06,24-Feb-99,CALCIUM,4.47,1999,2
T06,24-Feb-99,CHLORIDE,12.3,1999,2
T06,24-Feb-99,CONDY,95.5,1999,2
T06,24-Feb-99,IRON,0.06,1999,2
T06,24-Feb-99,MAGNESIUM,2.19,1999,2
T06,24-Feb-99,NH4N,0.8,1999,2
T06,24-Feb-99,NO3N,0.74,1999,2
T06,24-Feb-99,PH,4.11,1999,2
T06,24-Feb-99,PO4P,0.15,1999,2
T06,24-Feb-99,POTASSIUM,3.99,1999,2
T06,24-Feb-99,SO4S,0,1999,2
T06,24-Feb-99,SODIUM,3.8,1999,2
T06,03-Mar-99,ALUMINIUM,0.23,1999,3
T06,03-Mar-99,CALCIUM,4.65,1999,3
T06,03-Mar-99,CONDY,95.6,1999,3
T06,03-Mar-99,IRON,0.04,1999,3
T06,03-Mar-99,MAGNESIUM,2.18,1999,3
T06,03-Mar-99,NH4N,0.75,1999,3
T06,03-Mar-99,NO3N,0.83,1999,3
T06,03-Mar-99,PH,4.1,1999,3
T06,03-Mar-99,PO4P,0.02,1999,3
T06,03-Mar-99,POTASSIUM,3.84,1999,3
T06,03-Mar-99,SO4S,0,1999,3
T06,03-Mar-99,SODIUM,3.86,1999,3
T06,10-Mar-99,ALUMINIUM,0.2,1999,3
T06,10-Mar-99,CALCIUM,4.77,1999,3
T06,10-Mar-99,CHLORIDE,13.22,1999,3
T06,10-Mar-99,CONDY,85.3,1999,3
T06,10-Mar-99,IRON,0.09,1999,3
T06,10-Mar-99,MAGNESIUM,2.26,1999,3
T06,10-Mar-99,NH4N,0.76,1999,3
T06,10-Mar-99,NO3N,0.77,1999,3
T06,10-Mar-99,PH,4.12,1999,3
T06,10-Mar-99,PO4P,0.04,1999,3
T06,10-Mar-99,POTASSIUM,3.98,1999,3
T06,10-Mar-99,SO4S,0.13,1999,3
T06,10-Mar-99,SODIUM,4.05,1999,3
T06,17-Mar-99,ALUMINIUM,0.24,1999,3
T06,17-Mar-99,CALCIUM,4.74,1999,3
T06,17-Mar-99,CHLORIDE,11.63,1999,3
T06,17-Mar-99,CONDY,77.6,1999,3
T06,17-Mar-99,IRON,0.05,1999,3
T06,17-Mar-99,MAGNESIUM,2.21,1999,3
T06,17-Mar-99,NH4N,0.39,1999,3
T06,17-Mar-99,NO3N,0.75,1999,3
T06,17-Mar-99,PH,4.14,1999,3
T06,17-Mar-99,PO4P,0.06,1999,3
T06,17-Mar-99,POTASSIUM,3.83,1999,3
T06,17-Mar-99,SO4S,0.08,1999,3
T06,17-Mar-99,SODIUM,3.89,1999,3
T06,24-Mar-99,ALUMINIUM,0.24,1999,3
T06,24-Mar-99,CALCIUM,4.56,1999,3
T06,24-Mar-99,CHLORIDE,12.69,1999,3
T06,24-Mar-99,CONDY,85.7,1999,3
T06,24-Mar-99,IRON,0.05,1999,3
T06,24-Mar-99,MAGNESIUM,2.22,1999,3
T06,24-Mar-99,NH4N,0.56,1999,3
T06,24-Mar-99,NO3N,0.81,1999,3
T06,24-Mar-99,PH,4.14,1999,3
T06,24-Mar-99,PO4P,0.02,1999,3
T06,24-Mar-99,POTASSIUM,4.27,1999,3
T06,24-Mar-99,SO4S,0.07,1999,3
T06,24-Mar-99,SODIUM,3.99,1999,3
T06,12-Apr-99,ALUMINIUM,0.22,1999,4
T06,12-Apr-99,CALCIUM,4.63,1999,4
T06,12-Apr-99,CHLORIDE,13.93,1999,4
T06,12-Apr-99,CONDY,89.8,1999,4
T06,12-Apr-99,IRON,0.06,1999,4
T06,12-Apr-99,MAGNESIUM,2.27,1999,4
T06,12-Apr-99,NH4N,0.56,1999,4
T06,12-Apr-99,NO3N,0.83,1999,4
T06,12-Apr-99,PH,4.12,1999,4
T06,12-Apr-99,PO4P,0,1999,4
T06,12-Apr-99,POTASSIUM,3.59,1999,4
T06,12-Apr-99,SO4S,0.1,1999,4
T06,12-Apr-99,SODIUM,3.96,1999,4
T06,14-Apr-99,ALUMINIUM,0.3,1999,4
T06,14-Apr-99,CALCIUM,4.75,1999,4
T06,14-Apr-99,CHLORIDE,12.73,1999,4
T06,14-Apr-99,CONDY,80.3,1999,4
T06,14-Apr-99,IRON,0.11,1999,4
T06,14-Apr-99,MAGNESIUM,2.3,1999,4
T06,14-Apr-99,NH4N,0.79,1999,4
T06,14-Apr-99,NO3N,0.8,1999,4
T06,14-Apr-99,PH,4.14,1999,4
T06,14-Apr-99,PO4P,0,1999,4
T06,14-Apr-99,POTASSIUM,3.67,1999,4
T06,14-Apr-99,SO4S,0.04,1999,4
T06,14-Apr-99,SODIUM,3.94,1999,4
T06,21-Apr-99,ALUMINIUM,0.28,1999,4
T06,21-Apr-99,CALCIUM,4.66,1999,4
T06,21-Apr-99,CHLORIDE,13.11,1999,4
T06,21-Apr-99,CONDY,90.8,1999,4
T06,21-Apr-99,IRON,0.05,1999,4
T06,21-Apr-99,MAGNESIUM,2.3,1999,4
T06,21-Apr-99,NH4N,0.87,1999,4
T06,21-Apr-99,NO3N,0.79,1999,4
T06,21-Apr-99,PH,4.08,1999,4
T06,21-Apr-99,PO4P,0.04,1999,4
T06,21-Apr-99,POTASSIUM,3.89,1999,4
T06,21-Apr-99,SO4S,0.3,1999,4
T06,21-Apr-99,SODIUM,3.92,1999,4
T06,28-Apr-99,ALUMINIUM,0.21,1999,4
T06,28-Apr-99,CALCIUM,4.64,1999,4
T06,28-Apr-99,CHLORIDE,11.85,1999,4
T06,28-Apr-99,CONDY,86.1,1999,4
T06,28-Apr-99,IRON,0.05,1999,4
T06,28-Apr-99,MAGNESIUM,2.26,1999,4
T06,28-Apr-99,NH4N,0.7,1999,4
T06,28-Apr-99,NO3N,0.78,1999,4
T06,28-Apr-99,PH,4.13,1999,4
T06,28-Apr-99,PO4P,0.03,1999,4
T06,28-Apr-99,POTASSIUM,4.03,1999,4
