SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T01,24-Oct-96,PH,4.1,1996,10
T01,24-Oct-96,PO4P,0.113,1996,10
T01,24-Oct-96,POTASSIUM,3.23,1996,10
T01,24-Oct-96,SO4S,1.7,1996,10
T01,24-Oct-96,SODIUM,3.87,1996,10
T01,24-Oct-96,TOTALN,1.96,1996,10
T01,07-Nov-96,ALUMINIUM,0.29,1996,11
T01,07-Nov-96,CALCIUM,4.74,1996,11
T01,07-Nov-96,CHLORIDE,10.3,1996,11
T01,07-Nov-96,CONDY,97,1996,11
T01,07-Nov-96,DOC,8.1,1996,11
T01,07-Nov-96,IRON,0.164,1996,11
T01,07-Nov-96,MAGNESIUM,2.33,1996,11
T01,07-Nov-96,NH4N,0.702,1996,11
T01,07-Nov-96,NO3N,0.76,1996,11
T01,07-Nov-96,PH,4.1,1996,11
T01,07-Nov-96,PO4P,0.111,1996,11
T01,07-Nov-96,POTASSIUM,3.6,1996,11
T01,07-Nov-96,SO4S,1.8,1996,11
T01,07-Nov-96,SODIUM,4.06,1996,11
T01,07-Nov-96,TOTALN,1.12,1996,11
T01,21-Nov-96,ALUMINIUM,0.342,1996,11
T01,21-Nov-96,CALCIUM,4.56,1996,11
T01,21-Nov-96,CHLORIDE,10.4,1996,11
T01,21-Nov-96,CONDY,87,1996,11
T01,21-Nov-96,DOC,7,1996,11
T01,21-Nov-96,IRON,0.143,1996,11
T01,21-Nov-96,MAGNESIUM,2.26,1996,11
T01,21-Nov-96,NH4N,0.724,1996,11
T01,21-Nov-96,NO3N,0.74,1996,11
T01,21-Nov-96,PH,4.2,1996,11
T01,21-Nov-96,PO4P,0.121,1996,11
T01,21-Nov-96,POTASSIUM,4.07,1996,11
T01,21-Nov-96,SO4S,1.6,1996,11
T01,21-Nov-96,SODIUM,4.08,1996,11
T01,21-Nov-96,TOTALN,1.09,1996,11
T01,05-Dec-96,ALUMINIUM,0.323,1996,12
T01,05-Dec-96,CALCIUM,4.69,1996,12
T01,05-Dec-96,CHLORIDE,13.2,1996,12
T01,05-Dec-96,CONDY,83,1996,12
T01,05-Dec-96,DOC,6.7,1996,12
T01,05-Dec-96,IRON,0.318,1996,12
T01,05-Dec-96,MAGNESIUM,2.19,1996,12
T01,05-Dec-96,NH4N,0.788,1996,12
T01,05-Dec-96,NO3N,0.72,1996,12
T01,05-Dec-96,PH,4,1996,12
T01,05-Dec-96,PO4P,0.116,1996,12
T01,05-Dec-96,POTASSIUM,3.31,1996,12
T01,05-Dec-96,SO4S,1.6,1996,12
T01,05-Dec-96,SODIUM,3.99,1996,12
T01,05-Dec-96,TOTALN,1.48,1996,12
T01,26-Feb-97,ALUMINIUM,0.375,1997,2
T01,26-Feb-97,CALCIUM,4.61,1997,2
T01,26-Feb-97,CHLORIDE,10.8,1997,2
T01,26-Feb-97,CONDY,92,1997,2
T01,26-Feb-97,DOC,6.4,1997,2
T01,26-Feb-97,IRON,0.224,1997,2
T01,26-Feb-97,MAGNESIUM,2.3,1997,2
T01,26-Feb-97,NH4N,0.798,1997,2
